"3","Human Resources","1439119","110183"
"4","Software","1174402","110303"
"5","Hardware","1544653","110511"
"8","Research","4291505","111692"
"9","Customer Service","1308515","111692"
"10","Clerk","2344451","500120"
"12","Manufacturing","2244123","500160"
"14","Medicine","3344451","500170"
"20","Engineering","4124451","500120"
"21","Finance","1344000","500220"
"22","Support","1300001","500223"
"24","Business processing","2312178","500235"
"26","Customer relationship","1234451","500223"
"28","Sales","4344407","500235"
"30","Sales and services","1114451","500240"
"32","Marketing","2334451","500254"
"33","Field monitor","2224451","500258"
"35","Housekeeping","1344098","500260"
"37","Instruments","1255000","500160"
"40","Supplies","9876451","500275"
"42","Electricals","2309851","500300"
"44","Electronics","2134450","500330"
"46","Food","2344345","500300"
"48","Management","8323451","500350"
"50","Research","7844451","500400"
"52","Information tech","9344000","500400"
"53","Labs","1000051","500400"
"55","Infrastructure","4344451","500350"
"56","Testing","2300000","500400"
"58","Packaging","1312551","500170"
"60","Warehouse","6346751","500400"

